Time,Protcol,Flag,Family,Clusters,SeddAddress,ExpAddress,BTC,USD,Netflow_Bytes,IPaddress,Threats,Port,Prediction
50,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,608,39,A,Bonet,5066,SS
46,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,612,33,A,Bonet,5066,SS
31,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,616,41,A,Bonet,5066,SS
54,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,620,35,A,Bonet,5066,SS
50,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,624,43,A,Bonet,5066,SS
35,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,628,37,A,Bonet,5066,SS
58,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,632,45,A,Bonet,5066,SS
54,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,636,39,A,Bonet,5066,SS
39,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,640,47,A,Bonet,5066,SS
62,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,644,41,A,Bonet,5066,SS
58,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,648,49,A,Bonet,5066,SS
43,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,652,43,A,Bonet,5066,SS
66,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,656,51,A,Bonet,5062,SS
62,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,660,45,A,Bonet,5062,SS
47,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,664,53,A,Bonet,5062,SS
70,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,668,47,A,Bonet,5062,SS
66,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,672,55,A,Bonet,5062,SS
51,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,676,49,A,Bonet,5062,SS
74,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,680,57,A,Bonet,5062,SS
70,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,684,51,A,Bonet,5062,SS
55,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,688,59,A,Bonet,5062,SS
53,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,692,53,A,Bonet,5062,SS
51,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,696,61,A,Bonet,5062,SS
49,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,700,55,A,Bonet,5062,SS
47,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,704,63,A,Bonet,5062,SS
45,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,708,57,A,Bonet,5062,SS
43,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,712,65,A,Bonet,5062,SS
41,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,716,59,A,Bonet,5062,SS
39,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,720,67,A,Bonet,5062,SS
37,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,724,61,A,Bonet,5062,SS
35,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,728,69,A,Bonet,5062,SS
33,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,732,63,A,Bonet,5062,SS
31,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,736,71,A,Bonet,5062,SS
29,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,740,65,A,Bonet,5062,SS
27,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,744,73,A,Bonet,5062,SS
25,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,748,67,A,Bonet,5062,SS
23,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,752,75,A,Bonet,5062,SS
21,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,756,69,A,Bonet,5062,SS
19,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,760,77,A,Bonet,5062,SS
17,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,764,71,A,Bonet,5062,SS
15,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,768,79,A,Bonet,5062,SS
13,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,772,73,A,Bonet,5062,SS
11,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,776,81,A,Bonet,5062,SS
9,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,780,75,A,Bonet,5062,SS
7,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,784,83,A,Bonet,5062,SS
5,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,788,77,A,Bonet,5062,SS
3,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,792,85,A,Bonet,5062,SS
1,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,796,79,A,Bonet,5062,SS
6,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,800,87,A,Bonet,5062,SS
11,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,804,81,A,Bonet,5062,SS
16,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,808,89,A,Bonet,5062,SS
21,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,812,83,A,Bonet,5062,SS
26,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,816,91,A,Bonet,5062,SS
31,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,820,85,A,Bonet,5062,SS
36,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,824,93,A,Bonet,5062,SS
41,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,4,828,87,A,Bonet,5062,SS
46,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,832,95,A,Bonet,5062,SS
51,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,836,89,A,Bonet,5062,SS
56,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,840,97,A,Bonet,5062,SS
53,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,844,91,A,Bonet,5062,SS
58,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,848,99,A,Bonet,5062,SS
53,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,852,93,A,Bonet,5062,SS
48,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,856,101,A,Bonet,5062,SS
43,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,860,95,A,Bonet,5062,SS
38,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,864,103,A,Bonet,5062,SS
33,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,868,97,A,Bonet,5062,SS
28,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,872,105,A,Bonet,5062,SS
23,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,876,99,A,Bonet,5062,SS
7,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,880,107,A,Bonet,5062,SS
2,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,884,101,A,Bonet,5062,SS
7,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,8,888,109,A,Bonet,5062,SS
2,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,892,103,A,Bonet,5062,SS
20,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,896,111,A,Bonet,5062,SS
15,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,900,105,A,Bonet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,904,113,A,Bonet,5062,SS
7,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,908,107,A,Bonet,5062,SS
2,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,912,115,A,Bonet,5062,SS
9,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,916,109,A,Bonet,5062,SS
4,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,920,117,A,Bonet,5062,SS
30,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,924,111,A,Bonet,5062,SS
25,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,928,119,A,Bonet,5062,SS
20,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,932,113,A,Bonet,5062,SS
15,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,936,121,A,Bonet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,940,115,A,Bonet,5062,SS
5,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,944,123,A,Bonet,5062,SS
0,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,948,117,A,Bonet,5062,SS
3,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,952,125,A,Bonet,5062,SS
8,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,956,119,A,Bonet,5062,SS
3,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,960,127,A,Bonet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,964,121,A,Bonet,5062,SS
5,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,968,129,A,Bonet,5062,SS
0,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,972,123,A,Bonet,5062,SS
8,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,976,131,A,Bonet,5062,SS
3,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,980,125,A,Bonet,5062,SS
1,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,984,133,A,Bonet,5062,SS
7,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,988,127,A,Bonet,5062,SS
2,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,992,135,A,Bonet,5062,SS
3,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,996,129,A,Bonet,5062,SS
30,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1000,137,A,Bonet,5062,SS
25,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1004,131,A,Bonet,5062,SS
58,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1008,139,A,Bonet,5062,SS
50,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1012,133,A,Bonet,5062,SS
42,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1016,141,A,Bonet,5062,SS
34,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1020,135,A,Bonet,5062,SS
26,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1024,143,A,Bonet,5062,SS
18,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1028,137,A,Bonet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1032,145,A,Bonet,5062,SS
2,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1036,139,A,Bonet,5062,SS
10,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1040,147,A,Bonet,5062,SS
2,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1044,141,A,Bonet,5062,SS
4,TCP,APSF,WannaCry,1,1DA11mPS,1BonuSr7,8,1048,149,A,Bonet,5062,SS
9,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84346,8,B,DoS,5068,SS
1,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1046,11,B,DoS,5068,SS
9,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1050,14,B,DoS,5068,SS
1,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84348,17,B,DoS,5068,SS
0,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1048,20,B,DoS,5068,SS
50,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1052,23,B,DoS,5068,SS
42,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84350,26,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1050,29,B,DoS,5068,SS
26,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1054,32,B,DoS,5068,SS
18,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84352,35,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1052,38,B,DoS,5068,SS
2,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1056,41,B,DoS,5068,SS
6,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84354,44,B,DoS,5068,SS
4,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1054,47,B,DoS,5068,SS
6,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1058,50,B,DoS,5068,SS
9,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84356,53,B,DoS,5068,SS
12,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1056,56,B,DoS,5068,SS
15,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1060,59,B,DoS,5068,SS
18,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84358,62,B,DoS,5068,SS
21,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1058,65,B,DoS,5068,SS
24,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1062,68,B,DoS,5068,SS
27,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84360,71,B,DoS,5068,SS
30,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1060,74,B,DoS,5068,SS
33,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1064,77,B,DoS,5068,SS
36,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84362,80,B,DoS,5068,SS
39,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1062,83,B,DoS,5068,SS
42,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,1066,86,B,DoS,5068,SS
45,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,8,84364,89,B,DoS,5068,SS
48,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1064,92,B,DoS,5068,SS
51,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1068,95,B,DoS,5068,SS
54,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84366,98,B,DoS,5068,SS
52,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1066,101,B,DoS,5068,SS
50,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1070,104,B,DoS,5068,SS
48,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84368,107,B,DoS,5068,SS
46,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1068,110,B,DoS,5068,SS
44,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1072,113,B,DoS,5068,SS
42,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84370,116,B,DoS,5068,SS
40,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1070,119,B,DoS,5068,SS
38,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1074,122,B,DoS,5068,SS
36,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84372,125,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1072,128,B,DoS,5068,SS
32,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1076,131,B,DoS,5068,SS
30,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84374,134,B,DoS,5068,SS
28,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1074,137,B,DoS,5068,SS
26,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1078,140,B,DoS,5068,SS
24,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84376,143,B,DoS,5068,SS
22,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1076,146,B,DoS,5068,SS
20,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1080,149,B,DoS,5068,SS
18,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84378,152,B,DoS,5068,SS
16,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1078,155,B,DoS,5068,SS
14,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1082,158,B,DoS,5068,SS
12,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84380,161,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1080,164,B,DoS,5068,SS
8,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1084,167,B,DoS,5068,SS
6,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84382,170,B,DoS,5068,SS
4,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1082,173,B,DoS,5068,SS
6,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1086,176,B,DoS,5068,SS
8,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84384,179,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1084,182,B,DoS,5068,SS
12,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1088,185,B,DoS,5068,SS
14,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84386,188,B,DoS,5068,SS
16,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1086,191,B,DoS,5068,SS
18,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1090,194,B,DoS,5068,SS
20,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84388,197,B,DoS,5068,SS
22,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1088,200,B,DoS,5068,SS
24,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1092,203,B,DoS,5068,SS
26,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84390,206,B,DoS,5068,SS
28,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1090,209,B,DoS,5068,SS
30,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1094,212,B,DoS,5068,SS
32,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84392,215,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1092,218,B,DoS,5068,SS
36,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1096,221,B,DoS,5068,SS
38,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84394,224,B,DoS,5068,SS
40,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1094,227,B,DoS,5068,SS
42,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1098,230,B,DoS,5068,SS
44,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84396,233,B,DoS,5068,SS
46,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1096,236,B,DoS,5068,SS
48,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1100,239,B,DoS,5068,SS
50,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84398,242,B,DoS,5068,SS
52,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1098,245,B,DoS,5068,SS
54,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1102,248,B,DoS,5068,SS
56,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84400,251,B,DoS,5068,SS
58,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1100,254,B,DoS,5068,SS
40,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1104,257,B,DoS,5068,SS
37,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84402,260,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1102,263,B,DoS,5068,SS
31,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1106,266,B,DoS,5068,SS
28,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84404,269,B,DoS,5068,SS
25,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1104,272,B,DoS,5068,SS
22,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1108,275,B,DoS,5068,SS
19,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84406,278,B,DoS,5068,SS
16,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1106,281,B,DoS,5068,SS
13,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1110,284,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84408,287,B,DoS,5068,SS
7,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1108,290,B,DoS,5068,SS
4,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1112,293,B,DoS,5068,SS
1,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84410,296,B,DoS,5068,SS
1,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1110,299,B,DoS,5068,SS
7,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1114,302,B,DoS,5068,SS
4,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84412,305,B,DoS,5068,SS
4,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1112,308,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1116,311,B,DoS,5068,SS
7,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84414,314,B,DoS,5068,SS
7,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1114,317,B,DoS,5068,SS
13,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1118,320,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84416,323,B,DoS,5068,SS
10,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1116,326,B,DoS,5068,SS
16,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1120,329,B,DoS,5068,SS
13,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84418,332,B,DoS,5068,SS
13,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1118,335,B,DoS,5068,SS
19,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1122,338,B,DoS,5068,SS
16,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84420,341,B,DoS,5068,SS
16,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1120,344,B,DoS,5068,SS
22,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1124,347,B,DoS,5068,SS
19,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84422,350,B,DoS,5068,SS
19,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1122,353,B,DoS,5068,SS
25,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1126,356,B,DoS,5068,SS
22,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84424,359,B,DoS,5068,SS
22,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1124,362,B,DoS,5068,SS
28,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1128,365,B,DoS,5068,SS
25,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84426,368,B,DoS,5068,SS
25,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1126,371,B,DoS,5068,SS
31,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1130,374,B,DoS,5068,SS
28,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84428,377,B,DoS,5068,SS
28,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1128,380,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1132,383,B,DoS,5068,SS
31,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84430,386,B,DoS,5068,SS
31,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1130,389,B,DoS,5068,SS
37,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1134,392,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,84432,395,B,DoS,5068,SS
34,TCP,APSF,Locky,1,1DA11mPS,1BonuSr7,12,1132,398,B,DoS,5068,SS
